time,Lat.,Long.,Mw,magType
2024-11-13T10:06:22.496Z,36.6254,71.1715,4.1,mb
2024-11-13T05:13:20.904Z,36.5137,71.1648,5,mb
2024-11-11T08:19:51.489Z,36.5418,70.2064,4.2,mww
2024-11-10T14:18:53.506Z,37.9559,72.702,4.4,mb
2024-11-10T07:44:06.320Z,34.0592,69.7254,4.2,mb
2024-11-09T03:25:44.192Z,36.582,70.9387,4.1,mb
2024-11-08T11:53:05.236Z,38.8688,68.6941,4.3,mb
2024-11-05T10:14:14.750Z,38.4471,70.5118,4.6,mb
2024-11-05T10:13:20.674Z,38.4037,70.6042,4.7,mb
2024-11-05T09:27:44.824Z,38.7763,70.3034,4.6,mb
2024-11-05T09:03:02.457Z,38.4134,70.4408,4.7,mb
2024-11-05T05:00:32.492Z,43.2308,77.2835,4.3,mb
2024-11-04T11:22:20.908Z,36.6323,71.0675,4.2,mb
2024-11-04T02:37:43.337Z,36.6878,70.1353,4.2,mb
2024-11-03T23:31:53.023Z,41.2211,78.6049,4.1,mb
2024-11-02T05:50:51.877Z,41.5128,79.3833,4.6,mb
2024-11-01T20:01:15.039Z,36.2464,70.588,4.8,mb
2024-11-01T12:41:39.804Z,38.0336,73.1173,4.4,mb
2024-11-01T02:39:30.697Z,38.3406,73.7692,4.1,mb
2024-10-30T02:18:41.991Z,38.2418,74.1476,4.5,mb
2024-10-27T22:38:14.027Z,36.9602,71.1396,4.1,mb
2024-10-25T20:06:17.982Z,36.661,70.5877,4.2,mb
2024-10-23T22:49:34.926Z,41.2931,78.5425,4,mb
2024-10-23T01:37:22.534Z,38.1521,74.0639,4.5,mb
2024-10-22T05:07:28.956Z,36.1972,69.567,4,mb
2024-10-20T17:44:49.880Z,39.4064,73.5584,4.1,mb
2024-10-19T13:38:02.873Z,38.7786,72.4845,4.6,mb
2024-10-19T13:35:31.998Z,38.9444,72.5777,4.5,mb
2024-10-17T10:53:35.827Z,36.532,71.0171,4.2,mb
2024-10-16T22:23:02.559Z,41.1512,78.508,4.9,mb
2024-10-16T18:56:51.147Z,36.5224,70.5681,5.9,mb
2024-10-16T18:30:46.498Z,36.6676,71.2299,4.1,mb
2024-10-15T17:42:53.364Z,36.4652,71.3354,4.2,mb
2024-10-14T19:15:15.399Z,36.7513,71.0241,4.1,mb
2024-10-14T18:50:30.005Z,39.8853,78.6109,4.4,mb
2024-10-14T07:24:04.479Z,36.7021,71.2408,4,mb
2024-10-11T22:56:50.005Z,38.2831,73.1196,4.1,mb
2024-10-11T16:07:26.508Z,36.8725,71.3314,4,mb
2024-10-11T13:21:19.262Z,36.5139,70.1807,4.4,mb
2024-10-11T00:39:13.277Z,36.6992,70.9709,4,mb
2024-10-07T15:43:15.122Z,37.4794,72.251,4.5,mwr
2024-10-06T02:54:11.427Z,36.4755,70.4127,4.3,mb
2024-10-03T15:49:36.754Z,36.4442,69.9021,4,mb
2024-10-01T02:51:41.164Z,36.4225,71.2136,4.1,mb
2024-09-30T20:29:26.407Z,38.1419,73.2726,4.1,mwr
2024-09-30T06:18:00.195Z,37.2249,71.781,4.4,mww
2024-09-29T17:50:16.735Z,36.5254,70.7954,4.4,mb
2024-09-29T13:48:23.849Z,37.9261,70.0246,4.3,mb
2024-09-29T04:25:16.543Z,33.8731,71.043,4.5,mb
2024-09-29T04:00:00.440Z,38.5114,70.4718,4.5,mb
2024-09-29T01:39:03.689Z,37.3336,71.6747,4.2,mb
2024-09-28T19:56:23.165Z,37.7739,70.0824,4.5,mb
2024-09-28T13:09:25.543Z,38.0574,73.2204,4.5,mb
2024-09-28T05:44:21.996Z,39.2085,71.3715,4.2,mb
2024-09-25T14:28:00.167Z,32.4949,70.2205,4.2,mb
2024-09-24T00:53:57.391Z,38.7349,70.5183,4.3,mb
2024-09-21T14:42:44.531Z,36.1129,70.8054,4.5,mb
2024-09-18T20:23:37.123Z,37.6465,71.5822,4.2,mb
2024-09-18T20:14:19.148Z,37.6714,71.6384,4.3,mb
2024-09-18T19:52:04.853Z,37.6278,71.6613,4.4,mb
2024-09-17T14:28:06.085Z,37.6528,71.6627,4.8,mb
2024-09-17T03:46:05.990Z,36.5439,70.3336,4.2,mb
2024-09-13T17:32:15.617Z,41.2425,78.3988,4.3,mb
2024-09-11T07:28:02.928Z,31.2637,70.5845,5.1,mb
2024-09-09T08:20:03.592Z,36.2788,70.0187,4.2,mb
2024-09-07T22:02:13.061Z,36.025,70.5111,4.4,mb
2024-09-07T12:09:54.977Z,37.3809,72.2122,4.4,mb
2024-09-05T21:41:24.554Z,36.2154,71.0548,4.2,mb
2024-09-05T11:52:07.337Z,36.0025,70.3122,4.6,mb
2024-09-04T13:08:49.133Z,36.6275,71.3519,4.1,mb
